ID,Year
1210,1993-01-01
1211,1998-05-26
1212,1997-08-01
1213,1998-05-20
1214,1998-05-20
1215,1998-05-14
1216,1998-04-18
1217,1998-04-13
1218,1998-04-07
1219,1998-04-07
1220,1996-04-07
1221,1996-03-08
1222,1998-04-04
1223,1998-04-02
1224,1998-03-31
1225,1998-01-27
1226,1998-03-31
1227,1998-03-26
1228,1998-03-20
1229,1998-03-13
1230,1997-12-10
1231,1998-03-08
1232,1998-02-28
1233,1998-02-26
1234,1998-02-26
1235,1998-02-19
1236,1998-02-06
1237,1998-02-06
1238,1998-02-04
1239,1998-01-23
1240,1998-01-16
1241,1998-01-10
1242,1997-12-10
1243,1997-12-31
1244,1997-04-01
1245,1997-12-24
1246,1997-12-16
1247,1997-12-11
1248,1997-12-08
1249,1997-12-08
1250,1997-11-14
1251,1997-11-14
1252,1997-11-14
1253,1997-11-14
1254,1997-11-05
1255,1997-11-03
1256,1997-11-03
1257,1997-11-03
1258,1996-08-05
1259,1997-11-03
1260,1997-11-01
1261,1997-10-29
1262,1997-10-07
1263,1997-10-07
1264,1997-10-07
1265,1997-10-07
1266,1997-10-06
1267,1997-10-04
1268,1997-10-04
1269,1997-09-26
1270,1997-09-05
1271,1995-08-01
1272,1997-09-04
1273,1997-08-05
1274,1997-08-05
1275,1997-08-01
1276,1997-08-01
1277,1997-08-01
1278,1997-07-01
1279,1997-07-01
1280,1997-07-01
1281,1997-07-01
1282,1997-07-01
1283,1997-07-01
1284,1997-06-01
1285,1997-05-07
1286,1997-05-01
1287,1997-05-01
1288,1997-05-01
1289,1997-05-01
1290,1997-05-01
1291,1997-04-07
1292,1997-04-01
1293,1997-04-01
1294,1997-04-01
1295,1997-04-01
1296,1997-03-08
1297,1997-03-08
1298,1997-03-03
1299,1997-03-01
1300,1997-03-01
1301,1997-03-01
1302,1997-03-01
1303,1997-03-01
1304,1997-03-01
1305,1997-03-01
1306,1997-03-01
1307,1997-03-01
1308,1997-03-01
1309,1997-02-06
1310,1997-02-06
1311,1997-02-06
1312,1997-02-01
1313,1997-02-01
1314,1997-01-15
1315,1997-01-01
1316,1997-01-01
1317,1997-01-01
1318,1997-01-01
1319,1997-01-01
1320,1997-01-01
1321,1997-01-01
1322,1997-01-01
1323,1997-01-01
1324,1997-01-01
1325,1997-01-01
1326,1988-01-01
1327,1997-01-01
1328,1997-01-01
1329,1997-01-01
1330,1997-01-01
1331,1989-01-01
1332,1989-01-01
1333,1997-01-01
1334,1996-03-01
1335,1994-01-01
1336,1996-12-08
1337,1991-12-10
1338,1989-01-01
1339,1988-08-01
1340,1996-12-08
1341,1996-12-08
1342,1996-12-08
1343,1996-12-08
1344,1996-12-01
1345,1996-12-01
1346,1996-12-01
1347,1996-12-01
1348,1996-12-01
1349,1996-12-01
1350,1996-11-01
1351,1996-11-01
1352,1995-08-10
1353,1996-11-01
1354,1996-10-01
1355,1996-10-01
1356,1996-02-01
1357,1993-12-01
1358,1992-09-01
1359,1996-10-01
1360,1994-10-01
1361,1996-09-16
1362,1996-09-01
1363,1996-09-01
1364,1996-09-01
1365,1992-01-01
1366,1996-09-01
1367,1996-09-01
1368,1996-09-01
1369,1996-09-01
1370,1996-09-01
1371,1996-08-01
1372,1996-07-01
1373,1995-12-09
1374,1995-12-09
1375,1995-12-09
1376,1996-07-01
